"EBTM-4-10-2.0-S-RA-1-R-A-ECUEx8",,,,
"Pin","Name","Side","Unit","Type"
"A1","LS1","left","a","BIDIR"
"B1","GND","left","a","GND"
"C1","TX1+","left","a","output"
"D1","TX1-","left","a","output"
"E1","GND","left","a","GND"
"F1","TX2+","left","a","output"
"G1","TX2-","left","a","output"
"H1","GND","left","a","GND"
"I1","TX3+","left","a","output"
"J1","TX3-","left","a","output"
"K1","GND","left","a","GND"
"L1","TX4+","left","a","output"
"M1","TX4-","left","a","output"
"N1","GND","left","a","GND"
"A2","GND","right","a","GND"
"B2","TX5+","right","a","output"
"C2","TX5-","right","a","output"
"D2","GND","right","a","GND"
"E2","TX6+","right","a","output"
"F2","TX6-","right","a","output"
"G2","GND","right","a","GND"
"H2","TX7+","right","a","output"
"I2","TX7-","right","a","output"
"J2","GND","right","a","GND"
"K2","TX8+","right","a","output"
"L2","TX8-","right","a","output"
"M2","GND","right","a","GND"
"N2","LS2","right","a","BIDIR"
"A3","LS3","left","b","BIDIR"
"B3","GND","left","b","GND"
"C3","RX1+","left","b","input"
"D3","RX1-","left","b","input"
"E3","GND","left","b","GND"
"F3","RX2+","left","b","input"
"G3","RX2-","left","b","input"
"H3","GND","left","b","GND"
"I3","RX3+","left","b","input"
"J3","RX3-","left","b","input"
"K3","GND","left","b","GND"
"L3","RX4+","left","b","input"
"M3","RX4-","left","b","input"
"N3","GND","left","b","GND"
"A4","GND","right","b","GND"
"B4","RX5+","right","b","input"
"C4","RX5-","right","b","input"
"D4","GND","right","b","GND"
"E4","RX6+","right","b","input"
"F4","RX6-","right","b","input"
"G4","GND","right","b","GND"
"H4","RX7+","right","b","input"
"I4","RX7-","right","b","input"
"J4","GND","right","b","GND"
"K4","RX8+","right","b","input"
"L4","RX8-","right","b","input"
"M4","GND","right","b","GND"
"N4","LS4","right","b","BIDIR"
"A5","LS5","left","c","BIDIR"
"B5","GND","left","c","GND"
"C5","TX9+","left","c","output"
"D5","TX9-","left","c","output"
"E5","GND","left","c","GND"
"F5","TX10+","left","c","output"
"G5","TX10-","left","c","output"
"H5","GND","left","c","GND"
"I5","TX11+","left","c","output"
"J5","TX11-","left","c","output"
"K5","GND","left","c","GND"
"L5","TX12+","left","c","output"
"M5","TX12-","left","c","output"
"N5","GND","left","c","GND"
"A6","GND","right","c","GND"
"B6","TX13+","right","c","output"
"C6","TX13-","right","c","output"
"D6","GND","right","c","GND"
"E6","TX14+","right","c","output"
"F6","TX14-","right","c","output"
"G6","GND","right","c","GND"
"H6","TX15+","right","c","output"
"I6","TX15-","right","c","output"
"J6","GND","right","c","GND"
"K6","TX16+","right","c","output"
"L6","TX16-","right","c","output"
"M6","GND","right","c","GND"
"N6","LS6","right","c","BIDIR"
"A7","LS7","left","d","BIDIR"
"B7","GND","left","d","GND"
"C7","RX9+","left","d","input"
"D7","RX9-","left","d","input"
"E7","GND","left","d","GND"
"F7","RX10+","left","d","input"
"G7","RX10-","left","d","input"
"H7","GND","left","d","GND"
"I7","RX11+","left","d","input"
"J7","RX11-","left","d","input"
"K7","GND","left","d","GND"
"L7","RX12+","left","d","input"
"M7","RX12-","left","d","input"
"N7","GND","left","d","GND"
"A8","GND","right","d","GND"
"B8","RX13+","right","d","input"
"C8","RX13-","right","d","input"
"D8","GND","right","d","GND"
"E8","RX14+","right","d","input"
"F8","RX14-","right","d","input"
"G8","GND","right","d","GND"
"H8","RX15+","right","d","input"
"I8","RX15-","right","d","input"
"J8","GND","right","d","GND"
"K8","RX16+","right","d","input"
"L8","RX16-","right","d","input"
"M8","GND","right","d","GND"
"N8","LS8","right","d","BIDIR"
"A9","LS9","left","e","BIDIR"
"B9","GND","left","e","GND"
"C9","TX17+","left","e","output"
"D9","TX17-","left","e","output"
"E9","GND","left","e","GND"
"F9","TX18+","left","e","output"
"G9","TX18-","left","e","output"
"H9","GND","left","e","GND"
"I9","TX19+","left","e","output"
"J9","TX19-","left","e","output"
"K9","GND","left","e","GND"
"L9","TX20+","left","e","output"
"M9","TX20-","left","e","output"
"N9","GND","left","e","GND"
"A10","GND","right","e","GND"
"B10","RX17+","right","e","input"
"C10","RX17-","right","e","input"
"D10","GND","right","e","GND"
"E10","RX18+","right","e","input"
"F10","RX18-","right","e","input"
"G10","GND","right","e","GND"
"H10","RX19+","right","e","input"
"I10","RX19-","right","e","input"
"J10","GND","right","e","GND"
"K10","RX20+","right","e","input"
"L10","RX20-","right","e","input"
"M10","GND","right","e","GND"
"N10","LS10","right","e","BIDIR"
